         4643644 function calls (4640739 primitive calls) in 15.413 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
        4    0.000    0.000    0.000    0.000 __init__.py:419(register_loader_type)
       96    0.001    0.000    0.045    0.000 __init__.py:428(get_provider)
        1    0.000    0.000    0.000    0.000 __init__.py:458(get_build_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:569(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:593(IResourceProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:621(WorkingSet)
        1    0.000    0.000    0.007    0.007 __init__.py:624(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.007    0.007 __init__.py:637(_build_master)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        5    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
       18    0.000    0.000    0.013    0.001 __init__.py:679(add_entry)
        6    0.000    0.000    0.000    0.000 __init__.py:737(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
       10    0.000    0.000    0.000    0.000 __init__.py:754(add)
        1    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:89(MissingModule)
        1    0.000    0.000    0.027    0.027 __init__.py:9(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:92(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.002    0.002 __init__.py:959(subscribe)
        5    0.000    0.000    0.000    0.000 __init__.py:967(_added_new)
        1    0.000    0.000    0.000    0.000 __init__.py:985(Environment)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        5    0.000    0.000    0.000    0.000 _binary.py:23(i8)
        8    0.000    0.000    0.000    0.000 _binary.py:52(i16be)
       10    0.000    0.000    0.000    0.000 _binary.py:56(i32be)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
        1    0.000    0.000    0.000    0.000 _compat.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:30(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:37(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:38(__new__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.002    0.002 _numpysndarray.py:34(<module>)
        1    0.000    0.000    0.002    0.002 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.004    0.004 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:267(Compat32)
        1    0.000    0.000    0.010    0.010 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 _structures.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _structures.py:17(Infinity)
       20    0.000    0.000    0.000    0.000 _structures.py:43(__neg__)
        1    0.000    0.000    0.000    0.000 _structures.py:49(NegativeInfinity)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _util.py:13(isPath)
        1    0.000    0.000    0.000    0.000 _util.py:22(deferred_error)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       84    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
